Series Name,"Foreign direct investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net inflows (BoP, current US$)","Foreign direct investment, net outflows (% of GDP)","Foreign direct investment, net outflows (BoP, current US$)"
1992 [YR1992],-7156000000,2.613162193,11156000000,0.936953099,4000000000
1993 [YR1993],-23115000000,6.186882076,27515000000,0.98936148,4400000000
1994 [YR1994],-31787000000,5.987156294,33787000000,0.354405913,2000000000
1995 [YR1995],-33849200000,4.88044416,35849200000,0.272276322,2000000000
1996 [YR1996],-38066000000,4.651826651,40180000000,0.244747674,2114000000
1997 [YR1997],-41674000000,4.725334152,45439000000,0.391533332,3765000000
1998 [YR1998],-41117000000,4.435577102,45644000000,0.439923266,4527000000
1999 [YR1999],-36978000000,3.74900388,41014000000,0.368922311,4036000000
2000 [YR2000],-37483300000,3.475082246,42095300000,0.380733225,4612000000
2001 [YR2001],-37357000000,3.51300212,47053000000,0.723908541,9696000000
2002 [YR2002],-46789569179,3.609099885,53073618897,0.427326487,6284049719
2003 [YR2003],-49444853744,3.48740331,57900937467,0.509314282,8456083724
2004 [YR2004],-60144670468,3.483641114,68117272181,0.407733343,7972601714
2005 [YR2005],-90379127564,4.554254034,1.04109E+11,0.600602413,13729566303
2006 [YR2006],-1.0015E+11,4.508579016,1.24082E+11,0.869587667,23932198468
2007 [YR2007],-1.39095E+11,4.40096483,1.56249E+11,0.483187145,17154799702
2008 [YR2008],-1.14792E+11,3.73363489,1.71535E+11,1.23505626,56742276630
2009 [YR2009],-87167067370,2.568888291,1.31057E+11,0.860300666,43889985500
2010 [YR2010],-1.8575E+11,4.0035629,2.43703E+11,0.952062415,57953599366
2011 [YR2011],-2.31652E+11,3.708828902,2.80072E+11,0.641205592,48420641060
2012 [YR2012],-1.7625E+11,2.827090556,2.41214E+11,0.761388132,64963386524
2013 [YR2013],-2.17958E+11,3.039875469,2.90928E+11,0.762463765,72970879683
2014 [YR2014],-1.44968E+11,2.559233447,2.68097E+11,1.175384509,1.2313E+11
2015 [YR2015],-68098649765,2.192181603,2.42489E+11,1.576547892,1.74391E+11
2016 [YR2016],41674876170,1.55564215,1.7475E+11,1.926636988,2.16424E+11
2017 [YR2017],-27790987920,1.349132679,1.66084E+11,1.123380739,1.38293E+11
2018 [YR2018],-92338473352,1.693905294,2.35365E+11,1.029351959,1.43027E+11
2019 [YR2019],-50259822365,1.310718778,1.8717E+11,0.958757698,1.3691E+11
2020 [YR2020],-99374807720,1.723183793,2.53096E+11,1.046597368,1.53721E+11
2021 [YR2021],-2.05942E+11,1.883262938,3.33979E+11,0.72198561,1.28037E+11
